# Birds, insects, sea life, dinosaurs, and dog breeds
# word | part of speech | definition
allosaurus | noun | A large bipedal carnivorous dinosaur of the Jurassic period.
plankton | noun | Small organisms drifting in the sea or fresh water.
plover | noun | A short-billed gregarious wading bird.
poodle | noun | A dog of a breed with a curly coat.
prawn | noun | A marine crustacean resembling a large shrimp.
pterosaur | noun | A flying reptile of the Mesozoic era.
pug | noun | A small dog with a broad flat nose and wrinkled face.
quail | noun | A small short-tailed game bird; to feel fear.
raven | noun | A large heavily built crow with black plumage.
retriever | noun | A dog of a breed used for retrieving game.
roadrunner | noun | A fast-running bird of the cuckoo family.
robin | noun | A songbird with a red breast.
rottweiler | noun | A large powerful breed of dog.
salmon | noun | A large edible fish that migrates upstream to spawn.
sardine | noun | A young pilchard or similar small fish.
scallop | noun | An edible bivalve mollusk with a ribbed fan-shaped shell.
schnauzer | noun | A dog of a German breed with a close wiry coat and heavy whiskers.
seagull | noun | A gull.
shrimp | noun | A small free-swimming crustacean; a small person.
silkworm | noun | The caterpillar of a moth, which spins a silk cocoon.
snail | noun | A mollusk with a single spiral shell.
sparrow | noun | A small brown and gray songbird.
spaniel | noun | A dog of a breed with long silky coat and drooping ears.
squid | noun | An elongated fast-swimming cephalopod mollusk with ten arms.
starfish | noun | A marine echinoderm with five or more radiating arms.
stegosaurus | noun | A herbivorous dinosaur with plates along its back.
stork | noun | A very tall long-legged bird with a long heavy bill.
sturgeon | noun | A very large fish whose roe is prized as caviar.
swordfish | noun | A large marine fish with a long flat swordlike snout.
tadpole | noun | The tailed aquatic larva of an amphibian.
tapeworm | noun | A parasitic flatworm living in the intestines.
terrier | noun | A small dog of a breed originally used for turning out foxes.
toad | noun | A tailless amphibian with dry warty skin.
triceratops | noun | A large herbivorous dinosaur with three horns.
trilobite | noun | A fossil marine arthropod of the Paleozoic era.
trout | noun | A food and game fish of the salmon family.
tuna | noun | A large edible fish of warm seas.
turkey | noun | A large game bird; a failure (informal).
tyrannosaurus | noun | A very large carnivorous dinosaur.
velociraptor | noun | A small predatory dinosaur.
wasp | noun | A stinging insect with a narrow waist.
weevil | noun | A small beetle with an elongated snout.
whippoorwill | noun | A North American nightjar with a distinctive call.
woodlouse | noun | A small terrestrial crustacean with a gray segmented body.
wren | noun | A very small short-winged songbird.

