# Types of people, roles, and characters
# word | part of speech | definition
acrobat | noun | An entertainer who performs gymnastic feats.
illusionist | noun | A magician or conjurer.
insomniac | noun | A person who is regularly unable to sleep.
interloper | noun | A person who becomes involved where they are not wanted.
jester | noun | A professional joker or fool at a medieval court.
jetsetter | noun | A wealthy person who travels widely for pleasure.
jockey | noun | A professional rider in horse races.
journeyman | noun | A skilled worker; a reliable but not outstanding worker.
kingpin | noun | A person or thing essential to the success of an organization, especially a criminal one.
layabout | noun | A person who habitually does little or no work.
lifeguard | noun | A person employed to rescue swimmers in difficulty.
loner | noun | A person who prefers to be alone.
loudmouth | noun | A person who talks too much, especially in an offensive way.
lumberjack | noun | A person who fells trees.
madcap | adjective | Amusingly eccentric; crazy or reckless.
magnate | noun | A wealthy and influential person, especially in business.
maharaja | noun | An Indian prince.
matriarch | noun | A woman who is the head of a family or tribe.
millionaire | noun | A person whose assets are worth one million or more.
misanthrope | noun | A person who dislikes humankind.
miser | noun | A person who hoards wealth and spends as little money as possible.
mobster | noun | A member of a group of violent criminals.
moonshiner | noun | A person who distills or sells illegal whiskey.
motormouth | noun | A person who talks quickly and incessantly.
nanny | noun | A woman employed to care for a child in its own home.
naysayer | noun | A person who criticizes or objects.
nomad | noun | A member of a people who travel from place to place.
outlaw | noun | A person who has broken the law, especially one who remains at large.
pallbearer | noun | A person helping to carry a coffin at a funeral.
patriarch | noun | The male head of a family or tribe.
peddler | noun | A person who goes from place to place selling goods.
philanthropist | noun | A person who seeks to promote the welfare of others through donations.
pickpocket | noun | A person who steals from people's pockets.
pilgrim | noun | A person who journeys to a sacred place for religious reasons.
playboy | noun | A wealthy man who spends his time enjoying himself.
prankster | noun | A person fond of playing pranks.
prospector | noun | A person who searches for mineral deposits, especially gold.
racketeer | noun | A person who engages in dishonest and fraudulent business dealings.
ringleader | noun | A person who leads others in crime or causing trouble.
ringmaster | noun | The person directing a circus performance.
roughneck | noun | A rough and uncouth person; an oil rig worker.
rustler | noun | A person who steals cattle, horses, or sheep.
saboteur | noun | A person who engages in sabotage.
scalawag | noun | A person who behaves badly but in an amusing way.
scarecrow | noun | An object made to resemble a person, set up to scare birds away from crops.
scatterbrain | noun | A person who tends to be disorganized and lacking in concentration.
schoolmarm | noun | A schoolmistress, especially one who is prim and strict.
scrooge | noun | A person who is mean with money.
shopkeeper | noun | The owner and manager of a shop.
showman | noun | A person skilled at entertaining or attracting attention.
skinflint | noun | A person who spends as little money as possible.
slacker | noun | A person who avoids work or effort.
sleepwalker | noun | A person who walks while asleep.
smuggler | noun | A person who moves goods illegally into or out of a country.
snob | noun | A person who believes their tastes are superior to those of others.
socialite | noun | A person who is well known in fashionable society.
stagehand | noun | A person moving scenery or props during a theatrical performance.
strongman | noun | A man who performs feats of strength; an authoritarian leader.
stuntman | noun | A man employed to take an actor's place in dangerous scenes.
superhero | noun | A benevolent fictional character with superhuman powers.
supermodel | noun | A very successful and famous fashion model.
supervillain | noun | A villain in a story with superhuman powers.
sweetheart | noun | A person with whom someone is having a romantic relationship.
swindler | noun | A person who uses deception to take money or possessions.
tattletale | noun | A person, especially a child, who reveals secrets or informs on others.
teenager | noun | A person aged between 13 and 19.
tightwad | noun | A mean or miserly person.
tomboy | noun | A girl who enjoys rough, noisy activities traditionally associated with boys.
trailblazer | noun | A person who makes a new track; an innovator.
tramp | noun | A person who travels from place to place on foot as a vagrant.
trendsetter | noun | A person who leads the way in fashion or ideas.
troublemaker | noun | A person who habitually causes trouble.
turncoat | noun | A person who deserts one party or cause for an opposing one.
understudy | noun | A person who learns another's role in order to act as a replacement.
upstart | noun | A person who has risen suddenly in rank or importance and behaves arrogantly.
vagabond | noun | A person who wanders from place to place without a home or job.
vagrant | noun | A person without a settled home or regular work.
villain | noun | A person guilty of or capable of a crime or wickedness.
wallflower | noun | A shy person who does not join in at social events.
wanderer | noun | A person who travels aimlessly.
whiz | noun | A person who is extremely clever at something.
windbag | noun | A person who talks at length but says little of value.
wiseacre | noun | A person with an affectation of wisdom or knowledge.
wrangler | noun | A person in charge of horses or other livestock on a ranch.
