ice | noun | Frozen water.
lean | verb | To slope from the upright; thin and without fat.
leap | verb | To jump a long way.
learn | verb | To gain knowledge or skill.
leave | verb | To go away from; to let remain.
ledge | noun | A narrow shelf or projection.
leg | noun | A limb on which a body walks and stands.
legal | adjective | Allowed by law; concerning the law.
lend | verb | To give for temporary use.
lens | noun | A curved piece of glass that bends light.
level | noun | A height or standard; flat and even.
liar | noun | A person who tells lies.
lick | verb | To pass the tongue over.
lid | noun | A removable cover for a container.
life | noun | The state of being alive; the span of a living thing.
lift | verb | To raise to a higher position.
light | noun | What makes things visible; not heavy.
limb | noun | An arm, leg or large branch.
lime | noun | A green citrus fruit; a white mineral used in building.
limit | noun | A point beyond which something may not go.
line | noun | A long narrow mark; a row; a cord.
link | noun | A connection between two things.
lion | noun | A large wild cat of Africa with a maned male.
lip | noun | Either of the two fleshy edges of the mouth.
list | noun | A number of items written one after another.
liter | noun | A metric unit of volume.
lithium | noun | A light metal used in batteries and medicine.
live | verb | To be alive; to make one's home somewhere.
load | noun | A weight carried; an amount transported.
loaf | noun | A shaped mass of bread.
loan | noun | A sum of money lent.
local | adjective | Belonging to a particular small area.
lock | noun | A fastening opened with a key; a canal chamber.
lodge | noun | A small house at the gates of an estate.
lofty | adjective | Very tall; noble or haughty.
log | noun | A cut length of tree trunk; a record of a voyage.
long | adjective | Measuring a great distance or time.
look | verb | To direct the eyes towards something.
loop | noun | A shape produced by a curve crossing itself.
loose | adjective | Not firmly fixed; not tight.
lord | noun | A nobleman; a master or ruler.
lose | verb | To be deprived of; to be beaten.
loss | noun | The fact of losing something.
loud | adjective | Making a lot of noise.
love | noun | Deep affection.
loyal | adjective | Faithful to a person or cause.
luck | noun | Success or failure apparently by chance.
lump | noun | A compact mass; a swelling.
lunar | adjective | Of or relating to the moon.
lunch | noun | A meal eaten in the middle of the day.
lung | noun | Either of the two organs used in breathing.
magic | noun | The apparent use of supernatural power; conjuring.
magnesium | noun | A light silvery metal that burns with a bright flame.
maid | noun | A female servant.
mail | noun | Letters and parcels sent by post.
main | adjective | Chief in size or importance.
major | adjective | Greater in importance; an army rank.
make | verb | To bring something into being.
male | noun | A person or animal of the sex that fathers young.
mane | noun | The long hair on a horse's or lion's neck.
map | noun | A drawing of an area showing its features.
march | verb | To walk with regular steps, as soldiers.
mare | noun | A female horse.
mark | noun | A visible sign on a surface; a grade for work.
marry | verb | To take as husband or wife.
mask | noun | A covering for the face.
mass | noun | A large quantity; the amount of matter in a body.
mast | noun | A tall upright pole carrying sails or aerials.
mat | noun | A piece of coarse material laid on a floor.
match | noun | A contest; a stick that lights on striking.
mate | noun | A companion; a breeding partner.
math | noun | The study of numbers, shapes and quantities.
meal | noun | Food eaten at one sitting; coarsely ground grain.
mean | verb | To intend or signify; unkind.
meat | noun | Animal flesh used as food.
medal | noun | A metal disc given for achievement.
media | noun | The press and broadcasters taken together.
meet | verb | To come into the presence of; to satisfy a need.
melt | verb | To become liquid through heat.
menace | noun | A person or thing likely to cause harm.
mend | verb | To repair something broken.
mercy | noun | Kindness shown to an offender or enemy.
merry | adjective | Cheerful and lively.
mess | noun | An untidy state; a soldiers' dining room.
metal | noun | A hard shiny material that conducts heat and electricity.
meter | noun | A device that measures use; a metric unit of length.
