# Nautical, military, medieval, and travel
# word | part of speech | definition
admiral | noun | The commander of a fleet or naval squadron.
shogun | noun | A hereditary commander-in-chief in feudal Japan.
skirmish | noun | An episode of irregular or unpremeditated fighting.
spyglass | noun | A small telescope.
squire | noun | A young nobleman acting as an attendant to a knight; a country gentleman.
starboard | noun | The side of a ship on the right when facing forward.
steamboat | noun | A boat propelled by a steam engine.
steamship | noun | A ship propelled by a steam engine.
stockade | noun | A barrier formed from upright wooden posts.
stowaway | noun | A person who hides aboard a ship or aircraft to travel secretly.
submarine | noun | A warship that can operate underwater.
swashbuckler | noun | A swaggering adventurer or rogue.
tomahawk | noun | A light axe used as a weapon by Indigenous North Americans.
torpedo | noun | A self-propelled underwater missile.
trireme | noun | An ancient Greek or Roman warship with three banks of oars.
turret | noun | A small tower on top of a larger tower; a rotating gun housing.
vassal | noun | A holder of land by feudal tenure; a subordinate.
vessel | noun | A ship or large boat; a hollow container.
viking | noun | A Scandinavian seafaring pirate and trader of the 8th–11th centuries.
warhorse | noun | A horse ridden in battle; a veteran soldier or politician.
warship | noun | A ship equipped with weapons for war.
whaler | noun | A whaling ship; a seaman engaged in whaling.
yardarm | noun | The outer extremity of a ship's yard.

