board | noun | A flat piece of wood; a group that manages an organization.
chart | noun | A sheet of information in tables or graphs; a sea map.
chase | verb | To run after in order to catch.
cheap | adjective | Costing little; of poor quality.
check | verb | To examine for accuracy; to stop or restrain.
cheek | noun | The side of the face below the eye.
cheer | verb | To shout in praise or encouragement.
chest | noun | The front of the body between neck and stomach; a large box.
chew | verb | To grind food between the teeth.
chief | noun | A leader or head of a group.
child | noun | A young human being.
chill | noun | A feeling of cold; a brief illness from cold.
chin | noun | The front of the jaw below the mouth.
chip | noun | A small broken piece; a tiny wafer of circuitry.
chop | verb | To cut with a heavy blow.
chord | noun | Several musical notes sounded together.
city | noun | A large important town.
civil | adjective | Of ordinary citizens; polite.
claim | noun | A demand for something as a right.
clam | noun | A shellfish with a hinged shell.
class | noun | A group of pupils; a rank in society; a category.
claw | noun | A curved nail on an animal's foot.
clay | noun | Sticky earth used for pottery and bricks.
clean | adjective | Free from dirt.
clear | adjective | Easy to see through or understand.
click | noun | A short sharp sound; a press of a mouse button.
cliff | noun | A steep rock face, especially by the sea.
climb | verb | To go up something using effort.
clip | noun | A fastener that grips; a short extract of film.
cloak | noun | A loose sleeveless outer garment.
clock | noun | A device showing the time.
close | verb | To shut; to bring to an end.
cloth | noun | Woven material.
cloud | noun | A mass of water droplets floating in the sky.
club | noun | A society of members; a heavy stick.
clue | noun | A piece of evidence that helps solve a puzzle.
coal | noun | A black rock burned as fuel.
coast | noun | The land beside the sea.
coat | noun | An outer garment with sleeves; a covering layer.
code | noun | A system of signals or rules; program instructions.
coil | noun | Something wound into rings.
coin | noun | A piece of metal money.
cold | adjective | Of low temperature.
color | noun | The quality of light seen as red, blue and so on.
colt | noun | A young male horse.
comb | noun | A toothed strip for tidying hair.
comic | adjective | Causing laughter.
cone | noun | A solid tapering to a point; the fruit of a pine.
cook | verb | To prepare food with heat.
copy | noun | A thing made to be the same as another.
coral | noun | A hard substance built by sea creatures in warm water.
cord | noun | Thin rope; an insulated electrical cable.
core | noun | The central part of something.
cork | noun | The bark of an oak used to stop bottles.
corn | noun | Grain such as wheat or maize.
cost | noun | The amount to be paid for something.
cough | verb | To expel air from the lungs with a sharp sound.
count | verb | To find the number of things.
court | noun | A place where legal cases are heard; an enclosed yard.
cover | verb | To place something over; to deal with a topic.
cow | noun | A fully grown female of cattle.
crab | noun | A shellfish with pincers that walks sideways.
crack | noun | A narrow split; a sudden sharp sound.
craft | noun | A skilled trade; a boat or aircraft.
cram | verb | To force too much into a space; to study hurriedly.
crash | noun | A violent collision; a sudden failure.
crawl | verb | To move on hands and knees.
crazy | adjective | Mad, or wildly foolish.
cream | noun | The fatty part of milk; a pale yellowish white.
creek | noun | A small stream or narrow inlet.
creep | verb | To move slowly and quietly.
crest | noun | The top of a hill or wave; a tuft on a bird's head.
crew | noun | The people who work a ship or aircraft.
crime | noun | An act punishable by law.
crisp | adjective | Firm and dry, breaking easily.
crop | noun | Plants grown for food; a season's yield.
cross | noun | An upright with a bar across it; a mark of two lines.
crowd | noun | A large group of people gathered together.
crown | noun | The headdress of a monarch; the top of the head.
crude | adjective | Rough and unrefined.
cruel | adjective | Willing to cause pain to others.
crush | verb | To press hard enough to break or flatten.
crust | noun | The hard outer layer of bread or the earth.
cry | verb | To shed tears; to call out loudly.
